Date,Revenue,COGS,is_gross_loss,gross_loss_amount,is_revenue_outlier,is_cogs_outlier,gross_profit,gross_margin
2012-07-04,5123547.94,3982991.19,0,0.0,0,0,1140556.7500000005,0.22261073056339947
2012-07-05,2751773.45,2150580.23,0,0.0,0,0,601193.2200000002,0.21847482393581497
2012-07-06,3054029.42,2517632.84,0,0.0,0,0,536396.5800000001,0.17563569508770485
2012-07-07,2667930.94,2108246.62,0,0.0,0,0,559684.3199999998,0.2097821617526576
2012-07-08,2360851.9,1808622.79,0,0.0,0,0,552229.1099999999,0.23391094968727175
2012-07-09,3548386.46,2787841.68,0,0.0,0,0,760544.7799999998,0.21433538555436824
2012-07-10,5234938.62,4044438.84,0,0.0,0,0,1190499.7800000003,0.22741427673129055
2012-07-11,5582884.78,4338313.07,0,0.0,0,0,1244571.71,0.2229262754012989
2012-07-12,5734632.02,4458811.27,0,0.0,0,0,1275820.75,0.2224764807141017
2012-07-13,5309511.71,4143402.78,0,0.0,0,0,1166108.9300000002,0.2196263976221648
2012-07-14,3820831.41,3075464.87,0,0.0,0,0,745366.54,0.19507967246322444
2012-07-15,3948841.28,3154482.05,0,0.0,0,0,794359.23,0.20116261294756319
2012-07-16,3503801.49,2708219.59,0,0.0,0,0,795581.9000000004,0.22706249262996928
2012-07-17,4476729.49,3463061.65,0,0.0,0,0,1013667.8400000003,0.22643044263994613
2012-07-18,5184141.46,4072012.16,0,0.0,0,0,1112129.2999999998,0.2145252610448635
2012-07-19,6421487.11,5007270.91,0,0.0,0,0,1414216.2000000002,0.22023188332772345
2012-07-20,5171470.46,4213989.64,0,0.0,0,0,957480.8200000003,0.1851467251734046
2012-07-21,3442157.02,2746075.45,0,0.0,0,0,696081.5699999998,0.20222249187226207
2012-07-22,3117550.57,2531656.38,0,0.0,0,0,585894.19,0.1879341415141824
2012-07-23,4730517.69,3685006.66,0,0.0,0,0,1045511.0300000003,0.22101408313304505
2012-07-24,4096496.12,3248450.65,0,0.0,0,0,848045.4700000002,0.20701727651093202
2012-07-25,5246688.08,4140019.37,0,0.0,0,0,1106668.71,0.21092710165457368
2012-07-26,5851965.06,4579171.74,0,0.0,0,0,1272793.3199999994,0.21749844829046186
2012-07-27,5156699.45,3989402.2,0,0.0,0,0,1167297.25,0.2263651898502636
2012-07-28,4326956.84,3403662.59,0,0.0,0,0,923294.25,0.2133818949763317
2012-07-29,4804199.65,3819645.91,0,0.0,0,0,984553.7400000002,0.20493605839216114
2012-07-30,6586130.95,5195109.56,0,0.0,0,0,1391021.3900000006,0.21120463600864184
2012-07-31,9151622.14,7142891.18,0,0.0,0,0,2008730.960000001,0.21949452559019234
2012-08-01,9148357.3,7308514.33,0,0.0,0,0,1839842.9700000007,0.20111184004586272
2012-08-02,9692427.0,7537501.15,0,0.0,1,0,2154925.8499999996,0.22233088265715076
2012-08-03,9297269.95,7118808.46,0,0.0,0,0,2178461.4899999993,0.23431195412369407
2012-08-04,6384195.03,5087528.11,0,0.0,0,0,1296666.92,0.2031057813720957
2012-08-05,2359224.19,1863413.11,0,0.0,0,0,495811.07999999984,0.21015852673162014
2012-08-06,3630003.7,2922718.71,0,0.0,0,0,707284.9900000002,0.1948441512607825
2012-08-07,2240253.44,1781265.84,0,0.0,0,0,458987.59999999986,0.20488199763683876
2012-08-08,2617553.36,1997006.42,0,0.0,0,0,620546.94,0.23707136193777534
2012-08-09,4478691.52,3621672.71,0,0.0,0,0,857018.8099999996,0.19135473076743623
2012-08-10,3412496.65,2699279.56,0,0.0,0,0,713217.0899999999,0.209001550228628
2012-08-11,2732604.35,2168668.05,0,0.0,0,0,563936.3000000003,0.20637319852030545
2012-08-12,3388181.83,2654275.25,0,0.0,0,0,733906.5800000001,0.21660779049747753
2012-08-13,3928170.01,3189564.96,0,0.0,0,0,738605.0499999998,0.18802777072268312
2012-08-14,4033912.16,3258198.58,0,0.0,0,0,775713.5800000001,0.19229808415064745
2012-08-15,3780293.26,2886923.59,0,0.0,0,0,893369.6699999999,0.23632284813797752
2012-08-16,5249978.18,4222455.97,0,0.0,0,0,1027522.21,0.19571932963729005
2012-08-17,4089284.05,3238908.92,0,0.0,0,0,850375.1299999999,0.2079520814896681
2012-08-18,3450015.71,2808916.94,0,0.0,0,0,641098.77,0.18582488425828067
2012-08-19,3904300.93,3006801.4,0,0.0,0,0,897499.5300000003,0.22987457834096825
2012-08-20,3541027.32,2827038.81,0,0.0,0,0,713988.5099999998,0.2016331548664809
2012-08-21,4147483.23,3364364.64,0,0.0,0,0,783118.5899999999,0.1888177833572578
2012-08-22,4597682.81,3562468.33,0,0.0,0,0,1035214.4799999995,0.2251600475240265
2012-08-23,5478869.55,4195738.04,0,0.0,0,0,1283131.5099999998,0.23419639732068448
2012-08-24,4637850.57,3632210.67,0,0.0,0,0,1005639.9000000004,0.2168331827042889
2012-08-25,3589566.28,2784342.75,0,0.0,0,0,805223.5299999998,0.2243233491707527
2012-08-26,4280204.53,3476942.48,0,0.0,0,0,803262.0500000003,0.1876690808511434
2012-08-27,3038895.84,2365260.68,0,0.0,0,0,673635.1599999997,0.22167102640806527
2012-08-28,9508676.62,7439851.59,0,0.0,0,0,2068825.0299999993,0.21757234078699791
2012-08-29,9260558.32,7336294.54,0,0.0,0,0,1924263.7800000003,0.20779133541486083
2012-08-30,10086534.1,7950911.72,0,0.0,1,0,2135622.38,0.2117300510588667
2012-08-31,9104678.52,7277460.12,0,0.0,0,0,1827218.3999999994,0.2006900513825061
2012-09-01,8560208.92,6738335.17,0,0.0,0,0,1821873.75,0.2128305240008091
2012-09-02,2587099.44,1946097.28,0,0.0,0,0,641002.1599999999,0.24776865940645865
2012-09-03,3865505.01,3063431.08,0,0.0,0,0,802073.9299999997,0.20749525040713884
2012-09-04,3645749.44,2876968.79,0,0.0,0,0,768780.6499999999,0.21087040199888227
2012-09-05,2398185.51,1966376.48,0,0.0,0,0,431809.0299999998,0.18005655867714748
2012-09-06,2858227.37,2147909.96,0,0.0,0,0,710317.4100000001,0.2485167616318782
2012-09-07,3282753.8,2580035.06,0,0.0,0,0,702718.7399999998,0.21406379607267526
2012-09-08,3666204.89,2804001.32,0,0.0,0,0,862203.5700000003,0.23517604603926004
2012-09-09,4458501.42,3589475.8,0,0.0,0,0,869025.6200000001,0.1949142857960557
2012-09-10,4548962.79,3517300.88,0,0.0,0,0,1031661.9100000001,0.2267905801005684
2012-09-11,4021565.55,3264364.41,0,0.0,0,0,757201.1399999997,0.18828516670578693
2012-09-12,3335978.29,2673690.65,0,0.0,0,0,662287.6400000001,0.19852876200822042
2012-09-13,2609609.29,2103806.97,0,0.0,0,0,505802.31999999983,0.19382300712149894
2012-09-14,3729228.43,2835412.27,0,0.0,0,0,893816.1600000001,0.2396785760855095
2012-09-15,3605125.64,2849539.9,0,0.0,0,0,755585.7400000002,0.20958652081817603
2012-09-16,4452012.44,3561492.95,0,0.0,0,0,890519.4900000002,0.20002628069925163
2012-09-17,4811788.67,3932069.23,0,0.0,0,0,879719.44,0.18282586795317426
2012-09-18,5078878.07,4123200.89,0,0.0,0,0,955677.1800000002,0.18816698625726214
2012-09-19,3680241.62,3014323.76,0,0.0,0,0,665917.8600000003,0.1809440598631131
2012-09-20,3763143.75,3080273.62,0,0.0,0,0,682870.1299999999,0.18146267465865473
2012-09-21,3943768.14,2978697.93,0,0.0,0,0,965070.21,0.24470764399450723
2012-09-22,3872374.03,3011266.74,0,0.0,0,0,861107.2899999996,0.2223719308436741
2012-09-23,4118299.54,3294951.2,0,0.0,0,0,823348.3399999999,0.19992434547390883
2012-09-24,5733263.53,4585762.62,0,0.0,0,0,1147500.9100000001,0.20014794435936212
2012-09-25,5639897.53,4502395.62,0,0.0,0,0,1137501.9100000001,0.201688400179143
2012-09-26,4592282.59,3670417.04,0,0.0,0,0,921865.5499999998,0.20074233933413052
2012-09-27,7556892.66,6017108.13,0,0.0,0,0,1539784.5300000003,0.20375895216169448
2012-09-28,4892631.14,3884590.92,0,0.0,0,0,1008040.2199999997,0.20603233539489751
2012-09-29,5304374.46,4170120.63,0,0.0,0,0,1134253.83,0.21383366475224302
2012-09-30,4694379.86,3812737.52,0,0.0,0,0,881642.3400000003,0.18780805267002834
2012-10-01,4752532.1,3764447.04,0,0.0,0,0,988085.0599999996,0.2079070775766038
2012-10-02,3233135.78,2566510.62,0,0.0,0,0,666625.1599999997,0.2061853276078618
2012-10-03,3515132.03,2762823.63,0,0.0,0,0,752308.3999999999,0.21401995531871956
2012-10-04,2398137.74,1902425.74,0,0.0,0,0,495712.00000000023,0.20670705928676147
2012-10-05,2665953.06,2064899.19,0,0.0,0,0,601053.8700000001,0.22545553371446087
2012-10-06,2205266.94,1755004.4,0,0.0,0,0,450262.54000000004,0.20417598061847336
